Instance,country,region_code,region_name,latitude,longitude,location_geom,total_hospitalized_patients,recovered,deaths
53,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),117,331,122
54,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),117,379,123
55,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),117,400,124
56,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),112,401,125
57,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),110,413,127
58,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),107,445,126
59,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),100,467,127
60,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),100,506,127
61,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),95,617,129
62,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),89,657,130
63,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),89,721,131
64,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),93,743,133
65,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),86,775,135
66,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),83,852,137
67,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),80,902,137
68,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),75,904,137
69,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),73,901,137
70,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),76,895,138
71,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),76,894,139
72,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),59,894,139
73,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),53,880,139
74,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),51,881,139
75,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),47,889,139
76,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),48,895,139
77,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),48,905,139
78,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),45,912,139
79,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),45,916,140
80,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),38,929,141
81,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),38,945,141
82,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),37,953,142
83,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),33,956,142
84,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),31,962,143
85,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),30,971,143
86,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),27,983,143
87,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),26,986,143
88,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),27,990,143
89,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),24,991,143
90,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),25,999,143
91,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),24,1003,143
92,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),20,1003,143
93,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),18,1007,143
94,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),18,1011,143
95,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),16,1016,143
96,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),12,1020,143
97,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),13,1023,143
98,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),12,1026,143
99,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),11,1027,143
100,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),10,1031,143
101,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),9,1031,143
102,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),9,1034,143
103,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),9,1034,143
104,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),7,1033,144
105,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),6,1038,144
106,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),7,1039,144
107,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),7,1039,144
108,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),3,1041,144
109,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),6,1041,144
110,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),6,1038,144
111,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),7,1040,144
112,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),7,1040,144
113,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),7,1035,144
114,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),6,1037,144
115,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),5,1039,144
116,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),5,1040,145
117,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),4,1041,146
118,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),4,1041,146
119,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),4,1042,146
120,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),4,1042,146
121,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),3,1042,146
122,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),3,1042,146
123,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),2,1043,146
124,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),2,1044,146
125,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),2,1044,146
126,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),3,1044,146
127,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),3,1045,146
128,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),4,1045,146
129,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),2,1046,146
130,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),2,1046,146
131,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),3,1046,146
132,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),3,1046,146
133,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),4,1045,146
134,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),4,1045,146
135,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),4,1045,146
136,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),4,1045,146
137,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),4,1045,146
138,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),4,1045,146
